customer_id,customer_name,segment,region,acquisition_channel
CU00001,Customer 00001,Value Seekers,West,Social
CU00002,Customer 00002,Home Makers,North,Store
CU00003,Customer 00003,Professionals,North,Store
CU00004,Customer 00004,Professionals,Central,Corporate Sales
CU00005,Customer 00005,Corporate,West,Website
CU00006,Customer 00006,Corporate,West,Corporate Sales
CU00007,Customer 00007,Corporate,Central,Website
CU00008,Customer 00008,Home Makers,Central,Referral
CU00009,Customer 00009,Professionals,West,Corporate Sales
CU00010,Customer 00010,Value Seekers,West,Website
CU00011,Customer 00011,Gamers,Central,Website
CU00012,Customer 00012,Home Makers,Central,Store
CU00013,Customer 00013,Value Seekers,East,Referral
CU00014,Customer 00014,Professionals,Central,Store
CU00015,Customer 00015,Value Seekers,Central,Social
CU00016,Customer 00016,Home Makers,East,Store
CU00017,Customer 00017,Value Seekers,East,Corporate Sales
CU00018,Customer 00018,Home Makers,West,Website
CU00019,Customer 00019,Gamers,North,Social
CU00020,Customer 00020,Gamers,West,Social
CU00021,Customer 00021,Premium,North,Store
CU00022,Customer 00022,Home Makers,North,Social
CU00023,Customer 00023,Value Seekers,West,Store
CU00024,Customer 00024,Premium,North,Social
CU00025,Customer 00025,Gamers,East,Store
CU00026,Customer 00026,Corporate,West,Referral
CU00027,Customer 00027,Value Seekers,West,Social
CU00028,Customer 00028,Premium,North,Corporate Sales
CU00029,Customer 00029,Value Seekers,East,Referral
CU00030,Customer 00030,Professionals,North,Website
CU00031,Customer 00031,Gamers,East,Store
CU00032,Customer 00032,Professionals,Central,Store
CU00033,Customer 00033,Gamers,East,Referral
CU00034,Customer 00034,Professionals,West,Store
CU00035,Customer 00035,Premium,North,Website
CU00036,Customer 00036,Premium,Central,Store
CU00037,Customer 00037,Home Makers,North,Social
CU00038,Customer 00038,Home Makers,North,Social
CU00039,Customer 00039,Home Makers,East,Store
CU00040,Customer 00040,Premium,West,Store
CU00041,Customer 00041,Home Makers,Central,Store
CU00042,Customer 00042,Professionals,North,Store
CU00043,Customer 00043,Premium,West,Corporate Sales
CU00044,Customer 00044,Gamers,West,Store
CU00045,Customer 00045,Home Makers,West,Corporate Sales
CU00046,Customer 00046,Home Makers,Central,Corporate Sales
CU00047,Customer 00047,Professionals,North,Website
CU00048,Customer 00048,Premium,North,Store
CU00049,Customer 00049,Premium,West,Store
CU00050,Customer 00050,Premium,Central,Website
CU00051,Customer 00051,Premium,East,Store
CU00052,Customer 00052,Value Seekers,East,Store
CU00053,Customer 00053,Professionals,North,Store
CU00054,Customer 00054,Value Seekers,Central,Referral
CU00055,Customer 00055,Home Makers,East,Referral
CU00056,Customer 00056,Corporate,Central,Social
CU00057,Customer 00057,Value Seekers,East,Website
CU00058,Customer 00058,Corporate,West,Store
CU00059,Customer 00059,Home Makers,Central,Referral
CU00060,Customer 00060,Premium,Central,Website
