order_id,order_date,customer_id,store_id,channel,delivery_partner_id,promised_days,actual_days,delivery_status,delivery_rating
O000001,2026-01-07,CU04436,S009,Mobile App,DP01,3,3,On Time,5.0
O000002,2026-04-23,CU02856,S003,Mobile App,DP03,3,3,On Time,5.0
O000003,2026-02-05,CU02160,S003,Website,DP02,3,3,On Time,4.9
O000004,2026-01-10,CU04399,S007,Corporate,DP05,1,1,On Time,4.9
O000005,2026-04-23,CU04147,S008,Mobile App,DP01,3,3,On Time,4.9
O000006,2026-02-05,CU00806,S006,Physical Store,DP04,1,1,On Time,4.3
O000007,2026-01-18,CU00701,S006,Physical Store,DP04,1,1,On Time,4.7
O000008,2026-05-14,CU03792,S008,Website,DP01,3,3,On Time,4.6
O000009,2026-05-15,CU04757,S002,Website,DP03,3,3,On Time,5.0
O000010,2026-04-12,CU01801,S005,Physical Store,DP02,1,1,On Time,4.7
O000011,2026-05-20,CU01908,S002,Physical Store,DP02,1,1,On Time,4.2
O000012,2026-06-18,CU01137,S003,Website,DP02,3,3,On Time,5.0
O000013,2026-01-25,CU04132,S007,Website,DP02,3,3,On Time,5.0
O000014,2026-06-30,CU00623,S001,Mobile App,DP03,3,3,On Time,5.0
O000015,2026-02-02,CU02897,S004,Mobile App,DP04,3,3,On Time,4.9
O000016,2026-03-28,CU04969,S007,Website,DP05,3,3,On Time,4.5
O000017,2026-03-14,CU01416,S005,Physical Store,DP04,1,3,Delayed,3.7
O000018,2026-01-06,CU02063,S005,Website,DP04,3,3,On Time,5.0
O000019,2026-05-17,CU02688,S003,Mobile App,DP03,3,3,On Time,5.0
O000020,2026-03-08,CU04263,S008,Corporate,DP01,1,1,On Time,5.0
O000021,2026-05-24,CU01689,S003,Physical Store,DP05,1,1,On Time,5.0
O000022,2026-04-03,CU04159,S007,Physical Store,DP01,1,1,On Time,4.4
O000023,2026-04-18,CU00203,S001,Physical Store,DP05,1,1,On Time,4.9
O000024,2026-06-17,CU01539,S003,Mobile App,DP02,3,3,On Time,4.7
O000025,2026-01-26,CU01125,S001,Website,DP03,3,3,On Time,5.0
O000026,2026-02-07,CU00895,S004,Physical Store,DP03,1,1,On Time,4.7
O000027,2026-06-12,CU01556,S003,Mobile App,DP03,3,3,On Time,5.0
O000028,2026-05-22,CU02451,S009,Mobile App,DP05,3,3,On Time,5.0
O000029,2026-06-24,CU00787,S002,Website,DP04,3,4,Delayed,4.1
O000030,2026-04-13,CU00976,S005,Mobile App,DP03,3,3,On Time,4.3
O000031,2026-02-11,CU04930,S003,Mobile App,DP01,3,3,On Time,5.0
O000032,2026-06-28,CU04289,S003,Physical Store,DP03,1,1,On Time,5.0
O000033,2026-05-27,CU02947,S005,Mobile App,DP03,3,3,On Time,4.1
O000034,2026-03-07,CU02200,S002,Mobile App,DP04,3,3,On Time,4.8
O000035,2026-06-24,CU03878,S005,Physical Store,DP03,1,1,On Time,5.0
O000036,2026-02-11,CU04482,S003,Mobile App,DP04,3,3,On Time,5.0
O000037,2026-02-07,CU03280,S002,Mobile App,DP04,3,3,On Time,4.7
O000038,2026-05-21,CU03037,S005,Website,DP04,3,4,Delayed,4.1
O000039,2026-04-16,CU04076,S003,Physical Store,DP01,1,1,On Time,5.0
O000040,2026-06-21,CU04268,S008,Physical Store,DP02,1,5,Delayed,2.4
O000041,2026-06-01,CU00337,S002,Website,DP01,3,3,On Time,5.0
O000042,2026-04-06,CU03668,S007,Physical Store,DP02,1,1,On Time,4.1
O000043,2026-06-07,CU02940,S008,Physical Store,DP03,1,3,Delayed,3.2
O000044,2026-03-11,CU00605,S007,Physical Store,DP03,1,1,On Time,4.4
O000045,2026-02-07,CU02537,S002,Physical Store,DP05,1,1,On Time,5.0
O000046,2026-04-07,CU00666,S009,Physical Store,DP03,1,1,On Time,4.4
