return_id,order_id,return_date,product_id,quantity,return_reason,refund_amount
R000001,O000012,2026-06-24,P0064,3,Wrong Item,381.42
R000002,O000037,2026-02-17,P0034,3,Damaged,4049.51
R000003,O000068,2026-04-13,P0056,2,Not as Expected,637.09
R000004,O000073,2026-03-18,P0025,2,Wrong Item,3022.94
R000005,O000092,2026-06-22,P0065,2,Changed Mind,562.86
R000006,O000103,2026-05-29,P0069,1,Wrong Item,389.11
R000007,O000118,2026-06-23,P0061,3,Defective,1135.49
R000008,O000153,2026-04-02,P0026,1,Damaged,1845.47
R000009,O000168,2026-03-28,P0029,1,Wrong Item,1687.82
R000010,O000170,2026-05-15,P0034,3,Not as Expected,3897.99
R000011,O000175,2026-03-18,P0056,1,Changed Mind,318.75
R000012,O000199,2026-01-27,P0029,3,Not as Expected,5029.81
R000013,O000202,2026-02-01,P0005,1,Changed Mind,1628.48
R000014,O000220,2026-01-20,P0011,3,Wrong Item,3718.48
R000015,O000243,2026-03-02,P0031,2,Defective,4399.6
R000016,O000259,2026-03-06,P0019,2,Defective,1275.92
R000017,O000271,2026-07-01,P0068,2,Changed Mind,870.94
R000018,O000280,2026-03-30,P0065,2,Damaged,607.04
R000019,O000291,2026-05-20,P0026,1,Not as Expected,1710.49
R000020,O000334,2026-03-03,P0009,1,Not as Expected,880.93
R000021,O000339,2026-04-25,P0057,3,Changed Mind,1322.68
R000022,O000344,2026-05-12,P0073,1,Damaged,567.4
R000023,O000363,2026-03-14,P0064,1,Damaged,128.07
R000024,O000379,2026-01-14,P0015,1,Damaged,686.63
R000025,O000390,2026-07-02,P0068,2,Wrong Item,935.21
R000026,O000399,2026-04-02,P0001,2,Damaged,2253.75
R000027,O000419,2026-05-03,P0048,3,Defective,2165.74
R000028,O000424,2026-02-09,P0023,1,Changed Mind,1037.88
R000029,O000441,2026-01-08,P0050,3,Changed Mind,3385.41
R000030,O000498,2026-02-16,P0069,2,Damaged,707.39
R000031,O000516,2026-02-01,P0055,1,Not as Expected,176.36
R000032,O000523,2026-05-03,P0051,2,Defective,156.18
R000033,O000566,2026-01-11,P0076,3,Changed Mind,3206.27
R000034,O000570,2026-05-31,P0067,2,Defective,1255.49
R000035,O000603,2026-03-01,P0079,1,Defective,824.74
R000036,O000647,2026-01-29,P0011,3,Not as Expected,3739.63
R000037,O000675,2026-06-16,P0060,2,Defective,450.45
R000038,O000676,2026-02-03,P0030,2,Defective,1349.66
R000039,O000701,2026-01-29,P0014,1,Changed Mind,1166.04
R000040,O000722,2026-06-22,P0015,2,Wrong Item,1182.11
R000041,O000737,2026-05-05,P0076,1,Changed Mind,1038.0
R000042,O000738,2026-05-13,P0028,3,Damaged,1620.7
R000043,O000740,2026-06-05,P0055,1,Damaged,174.05
R000044,O000746,2026-05-07,P0077,3,Defective,1089.81
R000045,O000748,2026-02-23,P0006,1,Damaged,804.68
R000046,O000754,2026-03-03,P0029,2,Damaged,3078.9
R000047,O000770,2026-02-05,P0027,2,Damaged,2396.12
R000048,O000784,2026-02-22,P0014,1,Defective,1145.63
R000049,O000804,2026-06-06,P0069,3,Not as Expected,1044.72
R000050,O000812,2026-06-24,P0066,5,Not as Expected,2400.65
R000051,O000841,2026-02-02,P0051,1,Changed Mind,84.31
