order_id,order_date,customer_id,product_id,store_id,channel,quantity,payment_method,unit_cost,list_price,category,discount_pct,unit_price,revenue,cost,gross_profit,gross_margin_pct
O000001,2026-01-07,CU04436,P0080,S009,Mobile App,3,Transfer,309.8,419.88,Gaming,0.0360155600565602,404.75778664345154,1214.27,929.4,284.87,23.46
O000002,2026-04-23,CU02856,P0059,S003,Mobile App,2,Card,181.01,221.82,Small Appliances,0.03820779155142487,213.34474767806293,426.69,362.02,64.67,15.16
O000003,2026-02-05,CU02160,P0004,S003,Website,1,Transfer,702.13,1200.34,Laptops,0.07383362898467478,1111.7145417845354,1111.71,702.13,409.58,36.84
O000004,2026-01-10,CU04399,P0041,S007,Corporate,3,Card,1272.84,1644.61,Air Conditioners,0.024498603284744628,1604.319352051876,4812.96,3818.52,994.44,20.66
O000005,2026-04-23,CU04147,P0060,S008,Mobile App,1,Wallet,145.1,235.48,Small Appliances,0.04980169699463992,223.7526963917022,223.75,145.1,78.65,35.15
O000006,2026-02-05,CU00806,P0062,S006,Physical Store,1,Wallet,164.74,282.09,Audio,0.030879802360499226,273.37911655212673,273.38,164.74,108.64,39.74
O000007,2026-01-18,CU00701,P0011,S006,Physical Store,2,Wallet,818.69,1384.91,Smartphones,0.08217266852431906,1271.1082496339855,2542.22,1637.38,904.84,35.59
O000008,2026-05-14,CU03792,P0020,S008,Website,2,Transfer,944.29,1372.63,Smartphones,0.11479748679548696,1215.0555256999107,2430.11,1888.58,541.53,22.28
O000009,2026-05-15,CU04757,P0007,S002,Website,1,Transfer,802.5,1173.82,Laptops,0.024443941520515638,1145.1272125643882,1145.13,802.5,342.63,29.92
O000010,2026-04-12,CU01801,P0062,S005,Physical Store,2,Wallet,164.74,282.09,Audio,0.10956869011976705,251.18176820411492,502.36,329.48,172.88,34.41
O000011,2026-05-20,CU01908,P0007,S002,Physical Store,1,Card,802.5,1173.82,Laptops,0.15651337661447018,990.1014682624026,990.1,802.5,187.6,18.95
