month,store_id,revenue_target,gross_profit_target,on_time_delivery_target_pct,return_rate_target_pct
2026-01,S001,335025,89869,92.0,6.0
2026-01,S002,326420,94231,92.0,6.0
2026-01,S003,347672,85878,92.0,6.0
2026-01,S004,367335,77210,92.0,6.0
2026-01,S005,373931,76933,92.0,6.0
2026-01,S006,378088,85764,92.0,6.0
2026-01,S007,347338,78971,92.0,6.0
2026-01,S008,330933,94944,92.0,6.0
2026-01,S009,370077,87167,92.0,6.0
2026-02,S001,352219,92145,92.0,6.0
2026-02,S002,375492,86838,92.0,6.0
2026-02,S003,356618,83546,92.0,6.0
2026-02,S004,363316,75870,92.0,6.0
2026-02,S005,362343,94011,92.0,6.0
2026-02,S006,369939,83017,92.0,6.0
2026-02,S007,365739,82385,92.0,6.0
2026-02,S008,327283,91709,92.0,6.0
2026-02,S009,339234,94220,92.0,6.0
2026-03,S001,358354,83001,92.0,6.0
2026-03,S002,376102,80966,92.0,6.0
2026-03,S003,348661,78717,92.0,6.0
2026-03,S004,333851,86237,92.0,6.0
2026-03,S005,372982,78189,92.0,6.0
2026-03,S006,328790,86645,92.0,6.0
2026-03,S007,379679,77184,92.0,6.0
2026-03,S008,344728,93189,92.0,6.0
2026-03,S009,366437,85529,92.0,6.0
2026-04,S001,365925,79912,92.0,6.0
2026-04,S002,320702,94743,92.0,6.0
2026-04,S003,356102,75057,92.0,6.0
2026-04,S004,365159,80303,92.0,6.0
2026-04,S005,326188,93410,92.0,6.0
2026-04,S006,342251,91935,92.0,6.0
2026-04,S007,378058,89645,92.0,6.0
2026-04,S008,364511,93858,92.0,6.0
2026-04,S009,338387,86531,92.0,6.0
2026-05,S001,364982,85704,92.0,6.0
2026-05,S002,359367,75610,92.0,6.0
2026-05,S003,348605,91945,92.0,6.0
2026-05,S004,373371,85755,92.0,6.0
2026-05,S005,374277,94885,92.0,6.0
2026-05,S006,355109,94595,92.0,6.0
2026-05,S007,324743,80906,92.0,6.0
2026-05,S008,321660,85724,92.0,6.0
2026-05,S009,328631,81653,92.0,6.0
2026-06,S001,321140,84890,92.0,6.0
2026-06,S002,321458,89754,92.0,6.0
2026-06,S003,378358,81409,92.0,6.0
2026-06,S004,333824,83258,92.0,6.0
2026-06,S005,354911,89049,92.0,6.0
2026-06,S006,375477,80811,92.0,6.0
2026-06,S007,359863,75510,92.0,6.0
2026-06,S008,359028,81641,92.0,6.0
2026-06,S009,356103,94020,92.0,6.0
